transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,z_age,z_quantity,z_price,z_amount,is_outlier,order_month,age_group,customer_id_num
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,-0.5405647624976612,0.4292649784144711,-0.685122651503544,-0.5467043030084185,False,2023-11-01,Adult,001
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,-1.125591561737554,-0.45399629404328795,1.6884641771714488,0.9719187609038553,False,2023-02-01,Adult,002
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,0.6294888359821245,-1.337257566501047,-0.7906153994446548,-0.7610981473254455,False,2023-01-01,Adult,003
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,-0.3211797127827014,-1.337257566501047,1.6884641771714488,0.07861107624957653,False,2023-05-01,Adult,004
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,-0.8330781621176077,-0.45399629404328795,-0.685122651503544,-0.6360350714738464,False,2023-05-01,Adult,005
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,0.26384708645719146,-1.337257566501047,-0.7906153994446548,-0.7610981473254455,False,2023-04-01,Adult,006
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,0.3369754363621781,-0.45399629404328795,-0.8169885864299324,-0.7253658399392744,False,2023-03-01,Adult,007
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,-0.8330781621176077,1.3125262508722302,-0.8169885864299324,-0.6360350714738464,False,2023-02-01,Adult,008
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,1.5801573847469503,-0.45399629404328795,0.6335366977603409,0.25727261318043226,False,2023-12-01,Adult,009
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,0.7757455357920977,1.3125262508722302,-0.685122651503544,-0.45737353454299073,False,2023-10-01,Adult,010
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,-1.344976611452514,-0.45399629404328795,-0.685122651503544,-0.6360350714738464,False,2023-02-01,Adult,011
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,-0.4674364125926746,0.4292649784144711,-0.8169885864299324,-0.6807004557065603,False,2023-10-01,Adult,012
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,-1.4181049613575005,0.4292649784144711,1.6884641771714488,1.865226445558134,False,2023-08-01,Adult,013
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,1.653285734651937,1.3125262508722302,-0.7906153994446548,-0.6003027640876754,False,2023-01-01,Adult,014
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,0.044462036742231634,1.3125262508722302,1.6884641771714488,2.758534130212413,False,2023-01-01,Adult,015
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,-1.6374900110724604,0.4292649784144711,1.6884641771714488,1.865226445558134,False,2023-02-01,Teenager,016
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,-1.0524632118325674,1.3125262508722302,-0.8169885864299324,-0.6360350714738464,False,2023-04-01,Adult,017
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,0.41010378626716465,-0.45399629404328795,-0.8169885864299324,-0.7253658399392744,False,2023-04-01,Adult,018
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,1.5070290348419637,-0.45399629404328795,-0.8169885864299324,-0.7253658399392744,False,2023-09-01,Adult,019
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,-1.4181049613575005,0.4292649784144711,0.6335366977603409,0.7932572239729995,False,2023-11-01,Adult,020
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,0.6294888359821245,-1.337257566501047,1.6884641771714488,0.07861107624957653,False,2023-01-01,Adult,021
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,-1.710618360977447,-0.45399629404328795,-0.685122651503544,-0.6360350714738464,False,2023-10-01,Teenager,022
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,-0.4674364125926746,1.3125262508722302,-0.7906153994446548,-0.6003027640876754,False,2023-04-01,Adult,023
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,0.5563604860771378,-1.337257566501047,0.6335366977603409,-0.27871199761213494,False,2023-11-01,Adult,024
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,1.653285734651937,-1.337257566501047,-0.685122651503544,-0.7253658399392744,False,2023-12-01,Adult,025
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,-0.9793348619275809,-0.45399629404328795,1.6884641771714488,0.9719187609038553,False,2023-10-01,Adult,026
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,-0.2480513628777148,-0.45399629404328795,-0.8169885864299324,-0.7253658399392744,False,2023-08-01,Adult,027
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,0.11759038664721824,-1.337257566501047,1.6884641771714488,0.07861107624957653,False,2023-04-01,Adult,028
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,0.044462036742231634,-1.337257566501047,-0.7906153994446548,-0.7610981473254455,False,2023-08-01,Adult,029
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,-0.1749230129727282,0.4292649784144711,0.6335366977603409,0.7932572239729995,False,2023-10-01,Adult,030
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,0.19071873655220484,1.3125262508722302,0.6335366977603409,1.3292418347655668,False,2023-05-01,Adult,031
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,-0.8330781621176077,0.4292649784144711,-0.7906153994446548,-0.653901225166932,False,2023-01-01,Adult,032
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,0.6294888359821245,-0.45399629404328795,-0.685122651503544,-0.6360350714738464,False,2023-03-01,Adult,033
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,0.7026171858871111,0.4292649784144711,-0.685122651503544,-0.5467043030084185,False,2023-12-01,Adult,034
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,1.2145156352220174,0.4292649784144711,0.6335366977603409,0.7932572239729995,False,2023-08-01,Adult,035
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,0.7757455357920977,0.4292649784144711,0.6335366977603409,0.7932572239729995,False,2023-06-01,Adult,036
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,-1.710618360977447,0.4292649784144711,-0.8169885864299324,-0.6807004557065603,False,2023-05-01,Teenager,037
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,-0.2480513628777148,1.3125262508722302,-0.685122651503544,-0.45737353454299073,False,2023-03-01,Adult,038
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,-1.344976611452514,1.3125262508722302,-0.7906153994446548,-0.6003027640876754,False,2023-04-01,Adult,039
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,0.26384708645719146,-1.337257566501047,-0.685122651503544,-0.7253658399392744,False,2023-06-01,Adult,040
